"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"4949","Canton OH",2014,38,31,"",21,"",8,"",2,"",NA,"",NA,"",2,"Canton OH
 (40.79781020000047 81.37156644799967)"
"4950","Glendale CA",2014,38,34,"",23,"",9,"",1,"",NA,"",1,"",4,"Glendale CA
 (34.146330203000446 118.24863950799971)"
"4951","Memphis TN",2014,38,190,"",119,"",53,"",11,"",3,"",4,"",20,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"4952","Charlotte NC",2014,38,159,"",101,"",38,"",16,"",1,"",3,"",5,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"4953","Cambridge MA",2014,38,15,"",12,"",2,"",1,"",NA,"",NA,"",1,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"4954","New York City NY",2014,38,874,"",622,"",181,"",47,"",15,"",9,"",30,"New York City NY
 (40.71455220000047 74.00711891899965)"
"4955","Toledo OH",2014,38,76,"",53,"",15,"",5,"",NA,"",3,"",2,"Toledo OH
 (41.65381070900048 83.53625660699964)"
"4956","Birmingham AL",2014,38,189,"",98,"",66,"",17,"",3,"",5,"",11,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"4957","Evansville IN",2014,38,37,"",26,"",10,"",NA,"",NA,"",1,"",1,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"4958","Syracuse NY",2014,38,97,"",79,"",15,"",2,"",NA,"",1,"",9,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"4959","Baltimore MD",2014,38,148,"",86,"",47,"",9,"",2,"",4,"",8,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"4960","Portland OR",2014,38,134,"",88,"",32,"",9,"",4,"",1,"",6,"Portland OR
 (45.51178871100046 122.6756275729997)"
"4961","St. Petersburg FL",2014,38,73,"",51,"",16,"",5,"",1,"",NA,"",8,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"4962","Scranton PA",2014,38,18,"",16,"",2,"",NA,"",NA,"",NA,"",1,"Scranton PA
 (41.41015086800047 75.66077859599966)"
"4963","Las Vegas NV",2014,38,289,"",202,"",67,"",9,"",6,"",5,"",24,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"4964","Jacksonville FL",2014,38,151,"",87,"",52,"",7,"",1,"",4,"",6,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"4965","Rochester NY",2014,38,148,"",115,"",30,"",2,"",NA,"",1,"",14,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"4966","Tacoma WA",2014,38,126,"",85,"",33,"",4,"",1,"",3,"",10,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"4967","Spokane WA",2014,38,75,"",54,"",19,"",NA,"",1,"",1,"",1,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"4968","New Bedford MA",2014,38,17,"",15,"",1,"",1,"",NA,"",NA,"",1,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"4969","Salt Lake City UT",2014,38,151,"",105,"",33,"",10,"",1,"",2,"",15,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"4970","Newark NJ",2014,38,48,"",24,"",14,"",5,"",4,"",1,"",3,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"4971","Allentown PA",2014,38,29,"",23,"",4,"",1,"",NA,"",1,"",NA,"Allentown PA
 (40.602603640000495 75.47025702899964)"
"4972","Omaha NE",2014,38,109,"",77,"",21,"",6,"",1,"",4,"",6,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"4973","Sacramento CA",2014,38,200,"",147,"",40,"",5,"",4,"",4,"",12,"Sacramento CA
 (38.5793341750005 121.49089596399972)"
"4974","Kansas City KS",2014,38,25,"",10,"",12,"",3,"",NA,"",NA,"",NA,"Kansas City KS
 (39.113521653000475 94.6268190079997)"
"4975","Baton Rouge LA",2014,38,83,"",57,"",18,"",5,"",NA,"",3,"",NA,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"4976","Corpus Christi TX",2014,38,50,"",35,"",11,"",2,"",1,"",1,"",5,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"4977","Waterbury CT",2014,38,21,"",12,"",6,"",1,"",1,"",1,"",1,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"4978","El Paso TX",2014,38,102,"",69,"",24,"",4,"",3,"",2,"",4,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"4979","Tampa FL",2014,38,109,"",65,"",29,"",10,"",2,"",3,"",3,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"4980","Long Beach CA",2014,38,39,"",27,"",8,"",3,"",1,"",NA,"",8,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"4981","Berkeley CA",2014,38,11,"",8,"",2,"",NA,"",1,"",NA,"",1,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"4982","Youngstown OH",2014,38,66,"",57,"",7,"",1,"",1,"",NA,"",1,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"4983","Bridgeport CT",2014,38,31,"",17,"",9,"",2,"",NA,"",3,"",4,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"4984","Schenectady NY",2014,38,19,"",12,"",6,"",NA,"",1,"",NA,"",2,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"4985","Norfolk VA",2014,38,46,"",31,"",11,"",2,"",2,"",NA,"",2,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"4986","Worcester MA",2014,38,73,"",49,"",19,"",NA,"",1,"",4,"",12,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"4987","Indianapolis IN",2014,38,179,"",116,"",46,"",8,"",4,"",5,"",17,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"4988","Lexington KY",2014,38,89,"",58,"",23,"",5,"",2,"",1,"",NA,"Lexington KY
 (38.04859009900048 84.50031565799964)"
"4989","Chattanooga TN",2014,38,99,"",73,"",19,"",4,"",3,"",NA,"",3,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"4990","Columbus OH",2014,38,253,"",162,"",63,"",10,"",4,"",14,"",13,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"4991","Akron OH",2014,38,55,"",34,"",11,"",6,"",2,"",2,"",1,"Akron OH
 (41.084193248000474 81.51405901999965)"
"4992","Wichita KS",2014,38,93,"",68,"",17,"",6,"",1,"",1,"",5,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"4993","San Francisco CA",2014,38,117,"",82,"",26,"",8,"",NA,"",1,"",6,"San Francisco CA
 (37.777123997000444 122.4196366869997)"
"4994","Pittsburgh PAå¤",2014,38,29,"",25,"",3,"",NA,"",NA,"",1,"",2,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"4995","Atlanta GA",2014,38,166,"",89,"",46,"",14,"",10,"",7,"",8,"Atlanta GA
 (33.748311225000464 84.39110931499965)"
"4996","Camden NJ",2014,38,24,"",13,"",8,"",2,"",1,"",NA,"",NA,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"4997","Philadelphia PA",2014,38,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"4998","Miami FL",2014,38,64,"",57,"",3,"",2,"",2,"",NA,"",3,"Miami FL
 (25.774810115000435 80.19772778299966)"
"4999","Fort Worth TX",2014,38,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.75095254800044 97.33085951799967)"
"5000","Boston MA",2014,38,116,"",75,"",31,"",6,"",2,"",2,"",5,"Boston MA
 (42.35866324500046 71.05673887699965)"
"5001","Lynn MA",2014,38,5,"",2,"",1,"",2,"",NA,"",NA,"",NA,"Lynn MA
 (42.46370266800045 70.95021669199963)"
"5002","Washington D.C.",2014,38,100,"",53,"",33,"",8,"",3,"",3,"",5,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"5003","Tulsa OK",2014,38,118,"",79,"",26,"",10,"",NA,"",3,"",10,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"5004","Lowell MA",2014,38,19,"",14,"",2,"",3,"",NA,"",NA,"",2,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"5005","Ogden UT",2014,38,51,"",30,"",14,"",6,"",1,"",NA,"",5,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"5006","St. Paul MN",2014,38,62,"",35,"",20,"",4,"",2,"",1,"",5,"St. Paul MN
 (44.94382372600046 93.09331667699968)"
"5007","New England",2014,39,487,"",342,"",106,"",20,"",5,"",14,"",32,""
"5008","Mid. Atlantic",2014,39,1667,"",1222,"",347,"",59,"",22,"",17,"",82,""
"5009","E.N. Central",2014,39,1842,"",1232,"",428,"",111,"",39,"",32,"",78,""
"5010","W.N. Central",2014,39,532,"",339,"",131,"",26,"",16,"",18,"",24,""
"5011","S. Atlantic",2014,39,1076,"",653,"",292,"",77,"",35,"",19,"",71,""
"5012","E.S. Central",2014,39,963,"",638,"",221,"",75,"",15,"",13,"",68,""
"5013","W.S. Central",2014,39,1520,"",959,"",404,"",92,"",33,"",30,"",77,""
"5014","Mountain",2014,39,998,"",659,"",221,"",69,"",25,"",22,"",50,""
"5015","Pacific",2014,39,1714,"",1184,"",382,"",94,"",33,"",21,"",134,""
"5016","Totalå¦",2014,39,10799,"",7228,"",2532,"",623,"",223,"",186,"",616,""
"5017","Omaha NE",2014,39,79,"",54,"",16,"",4,"",2,"",3,"",3,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"5018","Waterbury CT",2014,39,27,"",20,"",7,"",NA,"",NA,"",NA,"",1,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"5019","Corpus Christi TX",2014,39,64,"",48,"",12,"",2,"",2,"",NA,"",5,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"5020","Fresno CA",2014,39,141,"",101,"",23,"",12,"",3,"",2,"",9,"Fresno CA
 (36.74068202600046 119.78572815899969)"
"5021","Akron OH",2014,39,49,"",32,"",14,"",1,"",1,"",1,"",4,"Akron OH
 (41.084193248000474 81.51405901999965)"
"5022","Des Moines IA",2014,39,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"Des Moines IA
 (41.589761626000495 93.61564652299967)"
"5023","Lexington KY",2014,39,80,"",47,"",13,"",13,"",4,"",3,"",1,"Lexington KY
 (38.04859009900048 84.50031565799964)"
"5024","Long Beach CA",2014,39,55,"",35,"",15,"",3,"",2,"",NA,"",7,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"5025","New Haven CT",2014,39,35,"",25,"",9,"",NA,"",NA,"",1,"",1,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"5026","Phoenix AZ",2014,39,160,"",89,"",41,"",15,"",7,"",6,"",3,"Phoenix AZ
 (33.44825282000045 112.07579699399969)"
"5027","Honolulu HI",2014,39,91,"",62,"",23,"",5,"",NA,"",1,"",13,"Honolulu HI
 (21.304853205000427 157.85774691599974)"
"5028","Boston MA",2014,39,114,"",77,"",24,"",6,"",2,"",5,"",9,"Boston MA
 (42.35866324500046 71.05673887699965)"
"5029","Salt Lake City UT",2014,39,129,"",84,"",27,"",10,"",4,"",4,"",7,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"5030","Peoria IL",2014,39,53,"",36,"",12,"",3,"",1,"",1,"",2,"Peoria IL
 (40.69214105000049 89.58775824399964)"
"5031","Youngstown OH",2014,39,74,"",56,"",12,"",6,"",NA,"",NA,"",3,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"5032","Nashville TN",2014,39,165,"",107,"",42,"",12,"",2,"",2,"",8,"Nashville TN
 (36.16784000400048 86.77815577199965)"
"5033","Pueblo CO",2014,39,35,"",28,"",6,"",1,"",NA,"",NA,"",1,"Pueblo CO
 (38.263863080000476 104.61236614299969)"
"5034","Glendale CA",2014,39,33,"",22,"",7,"",2,"",NA,"",2,"",5,"Glendale CA
 (34.146330203000446 118.24863950799971)"
"5035","Richmond VA",2014,39,48,"",26,"",12,"",8,"",1,"",1,"",6,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"5036","Jacksonville FL",2014,39,146,"",92,"",37,"",12,"",4,"",1,"",10,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"5037","Fort Worth TX",2014,39,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.75095254800044 97.33085951799967)"
"5038","Milwaukee WI",2014,39,74,"",50,"",21,"",2,"",NA,"",1,"",3,"Milwaukee WI
 (43.04181028200048 87.90683717599967)"
"5039","Allentown PA",2014,39,24,"",18,"",3,"",NA,"",2,"",1,"",NA,"Allentown PA
 (40.602603640000495 75.47025702899964)"
"5040","Dayton OH",2014,39,127,"",86,"",26,"",10,"",4,"",1,"",4,"Dayton OH
 (39.759112821000485 84.19443785699968)"
"5041","Birmingham AL",2014,39,180,"",114,"",54,"",10,"",1,"",1,"",10,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"5042","Scranton PA",2014,39,28,"",22,"",6,"",NA,"",NA,"",NA,"",NA,"Scranton PA
 (41.41015086800047 75.66077859599966)"
"5043","Spokane WA",2014,39,71,"",59,"",10,"",NA,"",NA,"",2,"",7,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"5044","Knoxville TN",2014,39,124,"",92,"",20,"",12,"",NA,"",NA,"",14,"Knoxville TN
 (35.96049444300047 83.92090839299965)"
"5045","Evansville IN",2014,39,50,"",40,"",8,"",2,"",NA,"",NA,"",6,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"5046","Gary IN",2014,39,11,"",8,"",1,"",1,"",NA,"",1,"",NA,"Gary IN
 (41.6037138850005 87.33716612199964)"
"5047","Baltimore MD",2014,39,156,"",84,"",47,"",13,"",8,"",4,"",8,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"5048","Lincoln NC",2014,39,54,"",42,"",8,"",3,"",1,"",NA,"",NA,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"5049","Tucson AZ",2014,39,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Tucson AZ
 (32.22155278400044 110.96975897999971)"
"5050","Charlotte NC",2014,39,136,"",87,"",35,"",7,"",5,"",2,"",3,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"5051","San Jose CA",2014,39,197,"",139,"",45,"",5,"",3,"",5,"",12,"San Jose CA
 (37.33858362500047 121.8855697949997)"
"5052","Detroit MI",2014,39,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"5053","Cincinnati OH",2014,39,74,"",42,"",19,"",6,"",3,"",4,"",1,"Cincinnati OH
 (39.1071305910005 84.50412975199964)"
"5054","Paterson NJ",2014,39,15,"",9,"",4,"",2,"",NA,"",NA,"",NA,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"5055","Pittsburgh PAå¤",2014,39,32,"",20,"",7,"",4,"",1,"",NA,"",2,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"5056","Austin TX",2014,39,83,"",57,"",20,"",1,"",2,"",3,"",6,"Austin TX
 (30.267593529000465 97.74298706799965)"
"5057","Las Vegas NV",2014,39,300,"",210,"",55,"",23,"",7,"",5,"",23,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"5058","Minneapolis MN",2014,39,58,"",32,"",16,"",1,"",3,"",6,"",5,"Minneapolis MN
 (44.9790304010005 93.26492855899966)"
"5059","Columbus OH",2014,39,208,"",121,"",58,"",17,"",5,"",7,"",6,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"5060","Duluth MN",2014,39,26,"",18,"",5,"",1,"",1,"",1,"",2,"Duluth MN
 (46.787955844000464 92.09984801699966)"
"5061","Seattle WA",2014,39,98,"",63,"",26,"",6,"",3,"",NA,"",2,"Seattle WA
 (47.60356894300048 122.32944721899969)"
"5062","Wilmington DE",2014,39,11,"",3,"",6,"",1,"",1,"",NA,"",4,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"5063","Grand Rapids MI",2014,39,70,"",42,"",17,"",6,"",3,"",2,"",4,"Grand Rapids MI
 (42.96641270800046 85.67117986599965)"
"5064","Tulsa OK",2014,39,142,"",83,"",40,"",9,"",7,"",3,"",10,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"5065","Kansas City KS",2014,39,29,"",18,"",7,"",2,"",1,"",1,"",1,"Kansas City KS
 (39.113521653000475 94.6268190079997)"
"5066","Schenectady NY",2014,39,30,"",24,"",3,"",NA,"",1,"",2,"",2,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"5067","San Diego CA",2014,39,159,"",101,"",44,"",9,"",2,"",3,"",6,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"5068","Hartford CT",2014,39,45,"",25,"",10,"",5,"",1,"",4,"",5,"Hartford CT
 (41.76349046400048 72.67401728199962)"
"5069","Boise ID",2014,39,55,"",44,"",6,"",3,"",NA,"",2,"",2,"Boise ID
 (43.60698392100045 116.1934057949997)"
"5070","Dallas TX",2014,39,187,"",111,"",57,"",10,"",5,"",2,"",14,"Dallas TX
 (32.778151412000454 96.79539918599966)"
"5071","Tacoma WA",2014,39,130,"",99,"",19,"",6,"",6,"",NA,"",13,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"5072","Canton OH",2014,39,31,"",21,"",7,"",3,"",NA,"",NA,"",2,"Canton OH
 (40.79781020000047 81.37156644799967)"
"5073","Providence RI",2014,39,59,"",44,"",14,"",1,"",NA,"",NA,"",1,"Providence RI
 (41.823872836000476 71.41198998599964)"
"5074","Norfolk VA",2014,39,65,"",33,"",25,"",1,"",2,"",4,"",2,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"5075","Washington D.C.",2014,39,79,"",43,"",25,"",7,"",2,"",2,"",4,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"5076","Kansas City MO",2014,39,68,"",47,"",17,"",1,"",1,"",1,"",2,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"5077","Santa Cruz CA",2014,39,36,"",28,"",4,"",2,"",2,"",NA,"",1,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"5078","Portland OR",2014,39,119,"",83,"",31,"",3,"",2,"",NA,"",4,"Portland OR
 (45.51178871100046 122.6756275729997)"
"5079","St. Louis MO",2014,39,84,"",43,"",27,"",6,"",4,"",3,"",4,"St. Louis MO
 (38.6277517260005 90.19955850799965)"
"5080","Atlanta GA",2014,39,140,"",79,"",43,"",14,"",3,"",1,"",12,"Atlanta GA
 (33.748311225000464 84.39110931499965)"
"5081","Sacramento CA",2014,39,196,"",138,"",43,"",10,"",3,"",2,"",17,"Sacramento CA
 (38.5793341750005 121.49089596399972)"
"5082","Syracuse NY",2014,39,84,"",65,"",18,"",NA,"",1,"",NA,"",9,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"5083","El Paso TX",2014,39,121,"",81,"",27,"",12,"",1,"",NA,"",4,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"5084","Yonkers NY",2014,39,18,"",17,"",1,"",NA,"",NA,"",NA,"",NA,"Yonkers NY
 (40.93299168200048 73.89873881399967)"
"5085","Cambridge MA",2014,39,22,"",14,"",7,"",1,"",NA,"",NA,"",4,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"5086","Los Angeles CA",2014,39,267,"",172,"",67,"",22,"",5,"",1,"",27,"Los Angeles CA
 (34.053492307000454 118.24531669099969)"
"5087","Philadelphia PA",2014,39,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"5088","Ogden UT",2014,39,30,"",23,"",4,"",1,"",2,"",NA,"",1,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"5089","Shreveport LA",2014,39,64,"",47,"",14,"",1,"",2,"",NA,"",6,"Shreveport LA
 (32.514612729000476 93.74726848099965)"
"5090","Utica NY",2014,39,21,"",18,"",3,"",NA,"",NA,"",NA,"",2,"Utica NY
 (43.09589091300046 75.24257707799967)"
"5091","St. Paul MN",2014,39,59,"",38,"",15,"",1,"",3,"",2,"",2,"St. Paul MN
 (44.94382372600046 93.09331667699968)"
"5092","Toledo OH",2014,39,85,"",56,"",20,"",4,"",2,"",3,"",7,"Toledo OH
 (41.65381070900048 83.53625660699964)"
"5093","Mobile AL",2014,39,74,"",49,"",14,"",7,"",3,"",1,"",4,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"5094","Camden NJ",2014,39,30,"",17,"",9,"",2,"",1,"",1,"",2,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"5095","Buffalo NY",2014,39,85,"",51,"",25,"",2,"",2,"",5,"",9,"Buffalo NY
 (42.88544137700046 78.87845781999965)"
"5096","Berkeley CA",2014,39,13,"",11,"",2,"",NA,"",NA,"",NA,"",NA,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"5097","Erie PA",2014,39,44,"",32,"",11,"",NA,"",1,"",NA,"",NA,"Erie PA
 (42.12944247200045 80.08523881899964)"
"5098","San Antonio TX",2014,39,248,"",169,"",54,"",15,"",2,"",8,"",15,"San Antonio TX
 (29.42458058800048 98.49460914499969)"
"5099","Albany NY",2014,39,45,"",37,"",6,"",1,"",NA,"",1,"",5,"Albany NY
 (42.65155347600046 73.75520562899965)"
"5100","Houston TX",2014,39,353,"",209,"",104,"",26,"",9,"",5,"",9,"Houston TX
 (29.760453065000434 95.36977674999969)"
"5101","New Orleans LA",2014,39,61,"",31,"",24,"",5,"",NA,"",1,"",1,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"5102","Tampa FL",2014,39,104,"",70,"",23,"",4,"",6,"",1,"",6,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"5103","Memphis TN",2014,39,186,"",113,"",50,"",16,"",3,"",4,"",24,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"5104","Miami FL",2014,39,67,"",53,"",11,"",3,"",NA,"",NA,"",6,"Miami FL
 (25.774810115000435 80.19772778299966)"
"5105","San Francisco CA",2014,39,85,"",55,"",18,"",7,"",2,"",3,"",7,"San Francisco CA
 (37.777123997000444 122.4196366869997)"
"5106","St. Petersburg FL",2014,39,62,"",40,"",17,"",2,"",1,"",2,"",6,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"5107","Wichita KS",2014,39,75,"",47,"",20,"",7,"",NA,"",1,"",5,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"5108","Montgomery AL",2014,39,60,"",42,"",10,"",4,"",2,"",1,"",4,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"5109","Lynn MA",2014,39,2,"",1,"",NA,"",1,"",NA,"",NA,"",NA,"Lynn MA
 (42.46370266800045 70.95021669199963)"
"5110","Fall River MA",2014,39,25,"",21,"",3,"",NA,"",NA,"",1,"",2,"Fall River MA
 (41.69735122300045 71.14364572399967)"
"5111","New Bedford MA",2014,39,14,"",11,"",3,"",NA,"",NA,"",NA,"",NA,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"5112","Newark NJ",2014,39,34,"",15,"",11,"",7,"",1,"",NA,"",2,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"5113","Little Rock AR",2014,39,101,"",63,"",29,"",5,"",1,"",3,"",4,"Little Rock AR
 (34.74865329300047 92.27448794899965)"
"5114","Lansing MI",2014,39,47,"",32,"",9,"",3,"",2,"",1,"",1,"Lansing MI
 (42.73194420800047 84.55224806999968)"
"5115","Pasadena CA",2014,39,23,"",16,"",5,"",2,"",NA,"",NA,"",4,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"5116","Chicago IL",2014,39,247,"",160,"",65,"",11,"",9,"",2,"",7,"Chicago IL
 (41.88425074000048 87.63244574499964)"
"5117","New York City NY",2014,39,936,"",698,"",191,"",31,"",11,"",5,"",37,"New York City NY
 (40.71455220000047 74.00711891899965)"
"5118","Albuquerque NM",2014,39,130,"",81,"",35,"",8,"",3,"",3,"",10,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"5119","Jersey City NJ",2014,39,23,"",16,"",5,"",1,"",1,"",NA,"",1,"Jersey City NJ
 (40.71748199500047 74.04384854999967)"
"5120","Savannah GA",2014,39,62,"",43,"",11,"",5,"",2,"",1,"",4,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"5121","Somerville MA",2014,39,6,"",5,"",NA,"",1,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"5122","Elizabeth NJ",2014,39,16,"",12,"",1,"",3,"",NA,"",NA,"",1,"Elizabeth NJ
 (40.6638122490005 74.21143642799967)"
"5123","Reading PA",2014,39,34,"",23,"",10,"",NA,"",NA,"",1,"",1,"Reading PA
 (40.3366219720005 75.92783660599963)"
"5124","Chattanooga TN",2014,39,94,"",74,"",18,"",1,"",NA,"",1,"",3,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"5125","Worcester MA",2014,39,52,"",37,"",12,"",1,"",1,"",1,"",4,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"5126","Fort Wayne IN",2014,39,87,"",69,"",14,"",3,"",NA,"",1,"",3,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"5127","Rockford IL",2014,39,68,"",51,"",15,"",2,"",NA,"",NA,"",5,"Rockford IL
 (42.2669016910005 89.07834897499964)"
"5128","Bridgeport CT",2014,39,34,"",28,"",5,"",NA,"",1,"",NA,"",4,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"5129","Colorado Springs CO",2014,39,78,"",54,"",16,"",6,"",1,"",1,"",1,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"5130","Springfield MA",2014,39,32,"",20,"",8,"",2,"",NA,"",2,"",NA,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"5131","Rochester NY",2014,39,147,"",113,"",28,"",5,"",NA,"",1,"",9,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"5132","Denver CO",2014,39,81,"",46,"",31,"",2,"",1,"",1,"",2,"Denver CO
 (39.74001109000045 104.9922972059997)"
"5133","South Bend IN",2014,39,52,"",35,"",12,"",2,"",1,"",2,"",1,"South Bend IN
 (41.67905339900045 86.25403946499966)"
"5134","Lowell MA",2014,39,20,"",14,"",4,"",2,"",NA,"",NA,"",1,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"5135","Cleveland OH",2014,39,239,"",170,"",45,"",20,"",2,"",2,"",11,"Cleveland OH
 (41.50475289400049 81.69071765199965)"
"5136","Trenton NJ",2014,39,21,"",15,"",5,"",1,"",NA,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"5137","Baton Rouge LA",2014,39,96,"",60,"",23,"",6,"",2,"",5,"",3,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"5138","Indianapolis IN",2014,39,196,"",125,"",53,"",9,"",6,"",3,"",8,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"5139","New England",2014,40,512,"",364,"",110,"",24,"",6,"",8,"",33,""
"5140","Mid. Atlantic",2014,40,1735,"",1280,"",338,"",72,"",27,"",18,"",77,""
"5141","E.N. Central",2014,40,1879,"",1249,"",459,"",104,"",38,"",29,"",97,""
